spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,<$solving_time_amazon_micro_2_7_10286
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.025
1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.01
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.02
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,2.01
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.005
1,0,0,1,0,0,0,0,0,0,0,0,0,0,5.02
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.01
1,1,0,1,0,0,0,0,0,0,0,0,0,0,5.02
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0
1,0,1,1,0,0,0,0,0,0,0,0,0,0,5.02
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.01
1,1,1,1,0,0,0,0,0,0,0,0,0,0,5.02
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.06
1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.01
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.02
1,1,0,0,1,0,0,0,0,0,0,0,0,0,5.015
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.065
1,0,1,0,1,0,0,0,0,0,0,0,0,0,5.01
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.02
1,1,1,0,1,0,0,0,0,0,0,0,0,0,5.01
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.07
1,0,0,1,1,0,0,0,0,0,0,0,0,0,5.01
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.02
1,1,0,1,1,0,0,0,0,0,0,0,0,0,5.01
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.07
1,0,1,1,1,0,0,0,0,0,0,0,0,0,5.01
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.02
1,1,1,1,1,0,0,0,0,0,0,0,0,0,5.01
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01
1,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.03
1,1,0,0,0,1,0,0,0,0,0,0,0,0,5.0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.01
1,0,1,0,0,1,0,0,0,0,0,0,0,0,5.0
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.03
1,1,1,0,0,1,0,0,0,0,0,0,0,0,5.0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.015
1,0,0,1,0,1,0,0,0,0,0,0,0,0,5.0
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.03
1,1,0,1,0,1,0,0,0,0,0,0,0,0,5.005
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.01
1,0,1,1,0,1,0,0,0,0,0,0,0,0,5.005
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0.03
1,1,1,1,0,1,0,0,0,0,0,0,0,0,5.0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.02
1,0,0,0,1,1,0,0,0,0,0,0,0,0,5.0
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.04
1,1,0,0,1,1,0,0,0,0,0,0,0,0,5.0
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.015
1,0,1,0,1,1,0,0,0,0,0,0,0,0,5.0
0,1,1,0,1,1,0,0,0,0,0,0,0,0,0.04
1,1,1,0,1,1,0,0,0,0,0,0,0,0,5.0
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.01
1,0,0,1,1,1,0,0,0,0,0,0,0,0,5.0
0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.04
1,1,0,1,1,1,0,0,0,0,0,0,0,0,5.0
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.01
1,0,1,1,1,1,0,0,0,0,0,0,0,0,5.0
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.04
1,1,1,1,1,1,0,0,0,0,0,0,0,0,5.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.02
1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.02
1,1,0,0,0,0,1,0,0,0,0,0,0,0,3.835
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.01
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.24
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.04
1,1,1,0,0,0,1,0,0,0,0,0,0,0,5.01
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.01
1,0,0,1,0,0,1,0,0,0,0,0,0,0,5.02
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.01
1,1,0,1,0,0,1,0,0,0,0,0,0,0,5.045
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.02
1,0,1,1,0,0,1,0,0,0,0,0,0,0,5.02
0,1,1,1,0,0,1,0,0,0,0,0,0,0,0.005
1,1,1,1,0,0,1,0,0,0,0,0,0,0,5.02
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.045
1,0,0,0,1,0,1,0,0,0,0,0,0,0,5.01
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.055
1,1,0,0,1,0,1,0,0,0,0,0,0,0,5.01
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.015
1,0,1,0,1,0,1,0,0,0,0,0,0,0,5.01
0,1,1,0,1,0,1,0,0,0,0,0,0,0,0.045
1,1,1,0,1,0,1,0,0,0,0,0,0,0,5.01
0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.0
1,0,0,1,1,0,1,0,0,0,0,0,0,0,4.48
0,1,0,1,1,0,1,0,0,0,0,0,0,0,0.01
1,1,0,1,1,0,1,0,0,0,0,0,0,0,1.425
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0
1,0,1,1,1,0,1,0,0,0,0,0,0,0,5.01
0,1,1,1,1,0,1,0,0,0,0,0,0,0,0.025
1,1,1,1,1,0,1,0,0,0,0,0,0,0,5.01
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.015
1,0,0,0,0,1,1,0,0,0,0,0,0,0,5.01
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.04
1,1,0,0,0,1,1,0,0,0,0,0,0,0,5.01
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.01
1,0,1,0,0,1,1,0,0,0,0,0,0,0,5.01
0,1,1,0,0,1,1,0,0,0,0,0,0,0,0.04
1,1,1,0,0,1,1,0,0,0,0,0,0,0,5.01
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.015
1,0,0,1,0,1,1,0,0,0,0,0,0,0,5.01
0,1,0,1,0,1,1,0,0,0,0,0,0,0,0.025
1,1,0,1,0,1,1,0,0,0,0,0,0,0,5.01
0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.01
1,0,1,1,0,1,1,0,0,0,0,0,0,0,5.01
0,1,1,1,0,1,1,0,0,0,0,0,0,0,0.03
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.395
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.01
1,0,0,0,1,1,1,0,0,0,0,0,0,0,5.015
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0.04
1,1,0,0,1,1,1,0,0,0,0,0,0,0,5.005
0,0,1,0,1,1,1,0,0,0,0,0,0,0,0.015
1,0,1,0,1,1,1,0,0,0,0,0,0,0,5.01
0,1,1,0,1,1,1,0,0,0,0,0,0,0,0.03
1,1,1,0,1,1,1,0,0,0,0,0,0,0,5.005
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.01
1,0,0,1,1,1,1,0,0,0,0,0,0,0,5.01
0,1,0,1,1,1,1,0,0,0,0,0,0,0,0.04
1,1,0,1,1,1,1,0,0,0,0,0,0,0,5.0
0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.015
1,0,1,1,1,1,1,0,0,0,0,0,0,0,5.01
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0.03
1,1,1,1,1,1,1,0,0,0,0,0,0,0,5.005
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.025
1,1,0,0,0,0,0,1,0,0,0,0,0,0,5.01
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,5.02
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0
1,1,1,0,0,0,0,1,0,0,0,0,0,0,1.98
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.01
1,0,0,1,0,0,0,1,0,0,0,0,0,0,5.02
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.01
1,1,0,1,0,0,0,1,0,0,0,0,0,0,5.02
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.005
1,0,1,1,0,0,0,1,0,0,0,0,0,0,5.02
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0.01
1,1,1,1,0,0,0,1,0,0,0,0,0,0,5.02
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.07
1,0,0,0,1,0,0,1,0,0,0,0,0,0,5.01
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.02
1,1,0,0,1,0,0,1,0,0,0,0,0,0,5.01
0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.07
1,0,1,0,1,0,0,1,0,0,0,0,0,0,5.015
0,1,1,0,1,0,0,1,0,0,0,0,0,0,0.02
1,1,1,0,1,0,0,1,0,0,0,0,0,0,5.01
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.07
1,0,0,1,1,0,0,1,0,0,0,0,0,0,5.01
0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.02
1,1,0,1,1,0,0,1,0,0,0,0,0,0,5.01
0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.065
1,0,1,1,1,0,0,1,0,0,0,0,0,0,5.015
0,1,1,1,1,0,0,1,0,0,0,0,0,0,0.02
1,1,1,1,1,0,0,1,0,0,0,0,0,0,5.015
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.015
1,0,0,0,0,1,0,1,0,0,0,0,0,0,5.0
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.03
1,1,0,0,0,1,0,1,0,0,0,0,0,0,5.0
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.02
1,0,1,0,0,1,0,1,0,0,0,0,0,0,5.0
0,1,1,0,0,1,0,1,0,0,0,0,0,0,0.02
1,1,1,0,0,1,0,1,0,0,0,0,0,0,5.0
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.01
1,0,0,1,0,1,0,1,0,0,0,0,0,0,5.005
0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.035
1,1,0,1,0,1,0,1,0,0,0,0,0,0,5.0
0,0,1,1,0,1,0,1,0,0,0,0,0,0,0.01
1,0,1,1,0,1,0,1,0,0,0,0,0,0,5.01
0,1,1,1,0,1,0,1,0,0,0,0,0,0,0.03
1,1,1,1,0,1,0,1,0,0,0,0,0,0,5.0
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.015
1,0,0,0,1,1,0,1,0,0,0,0,0,0,5.0
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0.04
1,1,0,0,1,1,0,1,0,0,0,0,0,0,5.0
0,0,1,0,1,1,0,1,0,0,0,0,0,0,0.015
1,0,1,0,1,1,0,1,0,0,0,0,0,0,5.0
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0.04
1,1,1,0,1,1,0,1,0,0,0,0,0,0,5.0
0,0,0,1,1,1,0,1,0,0,0,0,0,0,0.01
1,0,0,1,1,1,0,1,0,0,0,0,0,0,5.0
0,1,0,1,1,1,0,1,0,0,0,0,0,0,0.04
1,1,0,1,1,1,0,1,0,0,0,0,0,0,5.0
0,0,1,1,1,1,0,1,0,0,0,0,0,0,0.01
1,0,1,1,1,1,0,1,0,0,0,0,0,0,5.0
0,1,1,1,1,1,0,1,0,0,0,0,0,0,0.04
1,1,1,1,1,1,0,1,0,0,0,0,0,0,5.0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.015
1,0,0,0,0,0,1,1,0,0,0,0,0,0,5.0
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.02
1,1,0,0,0,0,1,1,0,0,0,0,0,0,3.815
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.01
1,0,1,0,0,0,1,1,0,0,0,0,0,0,0.225
0,1,1,0,0,0,1,1,0,0,0,0,0,0,0.04
1,1,1,0,0,0,1,1,0,0,0,0,0,0,5.01
0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.005
1,0,0,1,0,0,1,1,0,0,0,0,0,0,5.02
0,1,0,1,0,0,1,1,0,0,0,0,0,0,0.01
1,1,0,1,0,0,1,1,0,0,0,0,0,0,5.04
0,0,1,1,0,0,1,1,0,0,0,0,0,0,0.015
1,0,1,1,0,0,1,1,0,0,0,0,0,0,5.02
0,1,1,1,0,0,1,1,0,0,0,0,0,0,0.01
1,1,1,1,0,0,1,1,0,0,0,0,0,0,5.02
