SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.753029568589
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.0659234125061
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.0821619001454
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.855550169656
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.14396509937
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.0775569558895
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.826708676684
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.0555016965584
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.784779447407
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.852399418323
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.853853611246
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.860882210373
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.0150266602036
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.0913717886573
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.0763451284537
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.0959767329132
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.803926320892
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.946437227339
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.87227338827
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.767329132332
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.0593795443529
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.0719825496849
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.0222976248182
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.0351429956374
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.0986427532719
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.795201163354
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.790596219098
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.832283082889
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0.0916141541444
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0484730974309
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0.777508482792
1,0,1,1,1,1,0,1,0,0,0,1,0,0,0.812651478429
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.132573921474
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0.838342220068
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0.05962190984
0,1,1,0,0,0,1,0,0,1,1,1,0,0,0.870819195347
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0.118516723219
