SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandbatch.5
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.759552656104
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.3825722274
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.143522833178
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.904007455732
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.499534016775
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.578285181733
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.808014911463
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.436626281454
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.71155638397
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.438024231128
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.916589002796
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.783783783784
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.0834109972041
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.55265610438
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.109506057782
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.459925442684
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.418918918919
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.374184529357
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.877912395154
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.47064305685
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.476234855545
