Target ,spear_0,spear_1,spear_2,spear_3,spear_4,spear_5,spear_6,spear_7,spear_8,spear_9
spear_0,X,0.0,1.1,0.91,0.1,0.6,0.0,0.0,0.0,1.29
spear_1,0.1,X,0.1,1.01,0.8,0.1,0.0,0.0,0.0,0.0
spear_2,1.09,0.6,X,18.24,0.1,0.7,5.91,0.59,13.11,1.29
spear_3,2.78,1.39,0.7,X,5.87,1.19,15.16,1.39,29.81,1.89
spear_4,0.99,0.5,0.2,18.14,X,0.4,1.57,0.4,1.94,0.6
spear_5,0.5,0.2,0.6,0.1,3.38,X,0.3,0.2,0.29,0.2
spear_6,0.1,0.0,0.2,0.2,0.2,0.6,X,0.0,0.0,0.0
spear_7,0.1,0.0,0.1,0.1,0.3,0.0,0.0,X,0.0,0.1
spear_8,0.1,0.0,0.2,0.2,0.2,0.6,0.0,0.0,X,0.0
spear_9,0.1,0.0,0.1,0.91,0.8,0.5,0.0,0.0,0.1,X
