Target ,x264_0,x264_1,x264_10,x264_11,x264_12,x264_13,x264_14,x264_15,x264_16,x264_17,x264_18,x264_19,x264_2,x264_20,x264_3,x264_4,x264_5,x264_6,x264_7,x264_8,x264_9
x264_0,X,63.35,774.09,900.54,292.21,130.94,69.3,4343.35,78.73,54.58,23.95,710.65,173.82,50.41,13.71,50.27,38.96,463.48,687.41,740.74,489.12
x264_1,37.92,X,611.62,729.01,330.68,90.5,49.46,4853.22,66.79,58.52,62.99,589.26,134.65,48.11,46.06,9.02,15.83,487.31,551.06,639.63,495.38
x264_10,117.19,162.75,X,14.79,396.14,268.46,161.65,5314.99,166.39,115.6,132.87,673.45,298.41,117.33,110.0,154.86,125.74,34.58,7.07,16.78,28.84
x264_11,126.37,177.69,12.2,X,423.2,291.54,174.06,5599.73,179.6,123.33,142.48,712.2,323.11,125.78,117.84,168.75,136.23,37.79,15.41,10.02,33.28
x264_12,72.18,72.35,237.5,271.66,X,55.49,58.76,1182.06,71.18,63.54,70.08,254.45,47.78,68.18,71.66,67.35,69.01,124.87,206.67,212.9,133.21
x264_13,46.63,47.53,338.99,398.87,128.21,X,27.85,2492.5,52.35,36.74,45.62,352.1,27.39,44.44,44.25,43.52,49.32,245.67,301.78,339.26,255.71
x264_14,35.41,33.54,491.95,566.61,196.16,42.98,X,3334.38,48.67,31.08,41.72,461.78,73.45,34.73,34.93,26.68,30.03,329.91,430.69,471.09,349.51
x264_15,75.03,101.31,425.92,504.31,180.73,142.28,102.58,X,92.54,69.66,80.47,77.83,145.45,75.53,71.58,94.76,85.12,246.18,380.68,396.38,255.72
x264_16,51.16,86.41,739.4,880.58,282.01,141.32,71.09,4520.32,X,34.62,67.81,649.98,171.16,41.52,46.22,69.26,54.23,425.15,649.11,684.64,444.43
x264_17,45.28,85.62,689.53,812.31,250.8,121.75,65.46,4020.27,64.42,X,58.16,622.73,147.92,39.53,40.09,66.28,51.93,387.9,599.57,631.29,410.36
x264_18,18.25,79.77,794.93,909.12,257.99,131.57,72.41,3866.06,87.69,60.19,X,713.25,169.27,55.68,13.7,64.65,48.86,425.89,697.68,731.55,465.27
x264_19,89.42,159.31,1083.44,1298.86,456.01,275.12,167.03,5552.53,132.26,85.86,108.94,X,326.05,83.13,77.88,131.6,99.9,603.93,948.89,1001.07,625.1
x264_2,56.71,54.92,281.45,326.06,86.93,21.24,41.21,1957.78,56.08,45.3,51.84,301.71,X,52.3,54.2,53.37,58.75,198.1,248.77,274.68,207.76
x264_20,47.99,73.36,755.52,894.35,301.3,139.39,74.01,4720.39,71.75,40.45,63.19,680.64,173.2,X,42.85,64.97,47.7,444.34,667.22,701.79,468.68
x264_3,14.14,76.55,784.18,909.13,275.09,133.27,70.46,4157.81,80.88,51.23,17.53,717.5,174.06,48.65,X,59.44,44.82,437.44,689.92,732.44,468.17
x264_4,34.01,10.24,587.82,700.74,303.89,83.03,41.55,4562.95,61.9,51.72,58.21,572.51,125.55,43.9,41.65,X,15.13,455.92,529.86,611.43,464.71
x264_5,34.57,21.51,675.59,786.13,328.54,100.67,45.88,4844.85,68.16,54.0,55.46,625.72,144.56,42.73,40.7,18.94,X,486.33,598.47,667.31,506.69
x264_6,88.92,131.57,59.02,74.34,298.03,207.54,126.34,4108.1,131.83,90.22,99.07,570.56,232.09,91.45,83.14,121.61,99.71,X,48.26,52.18,13.98
x264_7,115.93,160.83,8.39,20.06,391.26,264.52,159.21,5270.08,164.36,114.14,130.98,670.4,294.21,115.66,108.63,153.05,124.03,32.39,X,13.78,26.77
x264_8,122.02,172.11,17.05,12.67,406.83,281.15,167.45,5411.31,173.56,118.71,136.78,696.0,311.43,121.03,113.44,163.29,131.43,32.92,12.12,X,28.7
x264_9,90.99,135.34,47.11,62.22,307.15,214.88,130.46,4192.09,136.67,93.89,101.46,584.12,240.51,94.85,85.57,125.73,103.0,12.82,37.96,43.45,X
