Target ,x264_0,x264_1,x264_10,x264_11,x264_12,x264_13,x264_14,x264_15,x264_16,x264_17,x264_18,x264_19,x264_2,x264_20,x264_3,x264_4,x264_5,x264_6,x264_7,x264_8,x264_9
x264_0,X,4.32,64.2,70.66,3.76,2.94,5.88,31.73,28.89,28.25,0.0,53.99,2.36,28.63,1.39,4.22,5.61,42.52,61.7,67.28,42.63
x264_1,4.44,X,0.0,0.0,4.94,1.06,3.91,33.0,8.25,8.32,1.11,53.17,0.91,23.37,6.95,1.62,1.41,0.79,0.0,0.0,0.0
x264_10,4.44,0.0,X,0.0,0.94,0.35,0.22,32.74,8.25,8.32,0.0,48.62,0.91,23.37,6.95,1.62,1.41,0.79,0.0,0.0,0.0
x264_11,4.44,0.0,0.0,X,4.94,1.06,3.91,33.0,8.25,8.32,1.11,53.17,0.91,23.37,6.95,1.62,1.41,0.79,0.0,0.0,0.0
x264_12,0.74,5.81,64.07,70.93,X,1.29,4.76,0.0,29.04,28.42,1.11,53.68,3.0,20.15,2.78,4.54,6.17,44.88,62.54,68.23,44.96
x264_13,1.48,1.0,62.49,69.43,0.47,X,3.45,0.04,27.86,16.42,2.22,53.06,0.99,22.58,8.33,0.64,1.41,41.73,61.0,66.11,44.19
x264_14,5.92,1.66,63.01,69.29,3.76,0.12,X,32.36,27.75,27.24,2.22,40.95,0.91,26.38,8.33,0.97,1.54,44.1,61.14,66.02,44.96
x264_15,0.74,5.81,64.07,70.93,0.0,1.29,4.76,X,29.04,28.42,1.11,53.68,3.0,20.15,2.78,4.54,6.17,44.88,62.54,68.23,44.96
x264_16,7.41,1.16,0.66,0.22,2.12,2.71,0.22,22.39,X,26.66,8.89,52.93,0.0,26.42,12.5,0.0,0.0,4.72,0.56,0.32,2.33
x264_17,22.22,37.38,3.96,2.7,6.12,14.96,13.61,1.49,36.96,X,13.33,59.86,10.71,36.2,25.0,38.63,29.31,3.15,3.62,2.35,3.88
x264_18,0.0,1.82,0.0,0.13,0.94,0.35,0.22,0.03,21.53,8.68,X,52.86,1.07,24.44,0.0,1.62,1.54,0.0,0.0,0.18,0.0
x264_19,4.44,1.0,62.49,69.56,4.47,1.88,3.96,0.03,28.41,9.75,2.22,X,1.29,27.57,6.95,0.97,2.39,44.1,61.14,66.83,44.19
x264_2,7.41,1.16,0.66,0.22,2.12,2.71,0.22,22.39,0.0,26.66,8.89,52.93,X,26.42,12.5,0.0,0.0,4.72,0.56,0.32,2.33
x264_20,11.11,0.16,0.53,0.31,3.53,5.65,4.08,0.18,28.36,27.54,14.44,53.32,1.37,X,19.45,2.92,3.65,4.72,0.7,0.5,3.1
x264_3,1.48,6.48,63.81,70.66,4.47,3.53,6.63,0.03,21.53,8.68,0.0,54.0,2.63,25.04,X,4.22,5.89,42.52,62.4,67.19,42.63
x264_4,7.41,1.16,0.66,0.22,2.12,2.71,0.22,22.39,0.0,26.66,8.89,52.93,0.0,26.42,12.5,X,0.0,4.72,0.56,0.32,2.33
x264_5,7.41,1.16,0.66,0.22,2.12,2.71,0.22,22.39,0.0,26.66,8.89,52.93,0.0,26.42,12.5,0.0,X,4.72,0.56,0.32,2.33
x264_6,0.74,4.32,0.26,0.13,0.94,1.53,5.15,0.07,28.9,9.87,0.0,42.38,2.82,11.65,4.17,3.57,5.61,X,0.14,0.27,0.0
x264_7,4.44,0.0,0.0,0.0,0.94,0.35,0.22,32.74,8.25,8.32,0.0,52.86,0.91,23.37,6.95,1.62,1.41,0.79,X,0.0,0.0
x264_8,4.44,0.0,0.0,0.0,4.94,1.06,3.91,33.0,8.25,8.32,1.11,53.17,0.91,23.37,6.95,1.62,1.41,0.79,0.0,X,0.0
x264_9,0.74,0.0,0.0,0.0,0.94,0.35,0.22,0.08,8.25,8.32,0.0,0.08,0.91,23.37,4.17,1.62,1.41,0.0,0.0,0.0,X
