Target ,sqlite_32,sqlite_57,sqlite_60,sqlite_71,sqlite_74,sqlite_81,sqlite_85,sqlite_87,sqlite_88,sqlite_90,sqlite_91,sqlite_94,sqlite_95,sqlite_96,sqlite_97
sqlite_32,X,12234745.2,11904811.2,14916344.2,14714843.2,2638273.69,4518719.5,2999481.57,8811012.83,2847957.42,2200806.09,2441545.67,1216730.14,2940177.53,2928252.27
sqlite_57,12234745.2,X,363848.0,2682671.0,2484158.0,14873018.89,8074992.9,15234226.77,3691912.93,15082702.62,14435551.29,14592383.87,13324755.14,15174922.73,15162997.47
sqlite_60,11904811.2,363042.33,X,3011533.0,2810106.0,14543084.89,7748998.9,14904292.77,3364522.93,14752768.62,14105617.29,14262449.87,12994821.14,14844988.73,14833063.47
sqlite_71,14916344.2,2682671.0,3011533.0,X,348181.33,17554617.89,10737685.9,17915825.77,6351741.93,17764301.62,17117150.29,17273982.87,16006354.14,17856521.73,17844596.47
sqlite_74,14714843.2,2484158.0,2810106.0,349682.67,X,17353116.89,10535232.9,17714324.77,6151009.93,17562800.62,16915649.29,17072481.87,15804853.14,17655020.73,17643095.47
sqlite_81,2638273.69,14873018.89,14543084.89,17554617.89,17353116.89,X,6842123.99,361207.88,11262816.96,209817.95,460057.82,281385.24,1548263.75,322644.42,314259.22
sqlite_85,4504357.72,8074992.9,7748998.9,10737685.9,10535232.9,6842123.99,X,7203331.87,4538829.96,7051807.72,6404656.39,6747113.49,5509508.03,7144128.63,7132102.57
sqlite_87,2999481.57,15234226.77,14904292.77,17915825.77,17714324.77,361207.88,7203331.87,X,11624024.84,151536.83,798675.47,641842.9,1909471.63,59406.46,71284.77
sqlite_88,8802990.09,3686105.93,3358991.93,6337500.93,6137389.93,11262816.96,4527876.23,11624024.84,X,11472500.69,10825349.36,11155629.62,9911800.69,11564720.8,11552795.54
sqlite_90,2847957.42,15082702.62,14752768.62,17764301.62,17562800.62,209683.73,7051807.72,151568.11,11472500.69,X,648929.38,490318.75,1757947.48,121469.98,113741.54
sqlite_91,2200806.09,14435551.29,14105617.29,17117150.29,16915649.29,459047.46,6404656.39,798675.47,10825349.36,648803.21,X,440165.27,1110796.15,768275.3,760214.93
sqlite_94,2437940.27,14592383.87,14262449.87,17273982.87,17072481.87,281385.24,6749027.12,641842.9,11157460.66,490318.75,438807.22,X,1274097.29,582538.86,570613.6
sqlite_95,1209819.74,13324755.14,12994821.14,16006354.14,15804853.14,1548263.75,5516548.29,1909471.63,9916641.02,1757947.48,1110796.15,1276751.28,X,1850167.59,1838242.33
sqlite_96,2940177.53,15174922.73,14844988.73,17856521.73,17655020.73,321705.14,7144128.63,59337.37,11564720.8,121047.52,768099.91,582538.86,1850167.59,X,14129.15
sqlite_97,2928252.27,15162997.47,14833063.47,17844596.47,17643095.47,313080.4,7132102.57,71235.96,11552795.54,113350.83,759905.46,570613.6,1838242.33,13959.48,X
