Target ,sqlite_32,sqlite_57,sqlite_60,sqlite_71,sqlite_74,sqlite_81,sqlite_85,sqlite_87,sqlite_88,sqlite_90,sqlite_91,sqlite_94,sqlite_95,sqlite_96,sqlite_97
sqlite_32,X,80.05,79.61,83.03,82.83,666.42,68.27,10636.28,80.74,1734.27,446.05,468.55,74.74,4138.45,3674.18
sqlite_57,403.36,X,2.45,14.71,13.76,3757.87,208.3,54135.63,89.86,9135.34,2641.38,2761.71,765.49,21287.13,18951.95
sqlite_60,392.49,2.37,X,16.56,15.61,3674.65,201.43,52962.41,85.67,8930.88,2577.69,2699.89,746.51,20824.66,18539.48
sqlite_71,491.72,17.88,20.48,X,1.97,4435.36,267.16,63438.29,123.94,10786.09,3157.29,3253.64,921.55,24970.11,22229.23
sqlite_74,485.09,16.56,19.12,1.93,X,4384.6,263.23,62718.19,121.5,10666.18,3123.7,3215.54,910.27,24685.11,21975.36
sqlite_81,86.94,97.39,97.34,97.78,97.76,X,91.94,1302.93,95.08,139.28,74.39,26.08,77.53,456.47,396.06
sqlite_85,148.71,52.9,51.89,59.64,59.17,1728.55,X,27407.13,38.15,3996.66,833.41,1364.33,289.48,10790.86,9627.03
sqlite_87,98.85,99.77,99.76,99.8,99.8,91.17,98.87,X,99.27,80.8,93.48,94.59,98.1,59.61,64.21
sqlite_88,290.24,23.91,22.25,35.07,34.34,2844.98,97.83,41684.28,X,6344.13,1353.06,2124.66,543.54,16527.65,14705.82
sqlite_90,93.85,98.77,98.75,98.96,98.94,52.9,96.19,538.86,97.8,X,75.9,66.07,89.86,159.87,132.07
sqlite_91,72.52,94.52,94.4,95.33,95.28,116.0,85.6,2879.14,92.29,358.35,X,70.63,54.63,1090.74,961.38
sqlite_94,80.36,95.53,95.44,96.22,96.17,71.17,94.72,1851.35,100.01,279.73,113.85,X,64.38,656.13,569.67
sqlite_95,39.83,87.23,86.94,89.11,88.98,391.13,80.19,6727.5,90.86,987.75,200.47,260.23,X,2586.11,2296.18
sqlite_96,96.9,99.38,99.36,99.47,99.47,81.18,96.46,163.7,97.39,65.58,95.65,86.44,95.16,X,12.58
sqlite_97,96.5,99.3,99.28,99.41,99.4,79.01,96.06,196.65,97.12,61.52,95.41,84.7,94.52,14.92,X
