Target Files,10,20,30,40,50,60,70,80,90,100,s10,s20,s30,s40,s50,s60,s70,s80,s90,s100
sqlite_11,-0.18646214467000011,-5.0978046721100005,0.41866028708000003,0.7775119617199997,0.6332676611300001,0.53827751195550011,1.2313537855300001,2.1495918941699999,-4.6122994652405014,1.5690965381349997,same,worse,same,same,same,same,same,same,worse,same
sqlite_10,0.046523430889999995,0.75706310269000032,0.72745728302900003,1.5225850109954997,0.44408729486999987,0.10150566740000011,1.3534088986599999,1.1588563694740006,1.5479614278420002,2.6476061580054999,same,same,same,same,same,same,same,same,same,same
sqlite_16,0.69726902963299964,0.7263219058685001,1.9755955839604997,3.0214991284105004,1.3945380592704999,1.0749564206850002,1.1040092969204998,0.7263219058699999,1.394538059267,1.0459035444515001,same,same,better,same,better,same,same,same,same,same
sqlite_19,3.0864197530839999,2.1751910640800003,2.9688418577300002,0.94062316284499992,4.5267489711949995,1.9400352733735005,2.5279247501500004,4.0270429159310002,5.2616108171710501,2.5279247501500004,same,same,same,same,better,same,better,better,better,better
sqlite_18,-1.0370370370500019,-4.4444444444499993,-8.259259259249994,3.4444444443999984,4.9259259258999961,13.518518518499995,2.9629629630000025,17.2592592592,6.4444444444499993,1.6666666666500021,same,same,same,same,same,better,same,same,same,same
sqlite_52,-0.015479876160000128,0.21671826625499979,0.27347781217999967,0.85139318885399939,1.1248710010329992,1.1867905056759995,2.0639834881299999,0.76883384932899967,1.5531475748199994,1.9195046439600003,same,same,same,same,same,same,same,same,same,better
sqlite_79,-0.33977110157549995,0.026824034334000046,0.11623748211200002,-0.0089413447755000153,0.23247496423200009,0.24141630901200006,0.07153075822249999,0.125178826897,0.52753934191499985,0.34871244635200016,worse,same,same,same,same,same,same,same,better,same
sqlite_73,-0.36643622229499995,-0.072693825473499896,-0.34269946295599996,0.0089012847520001381,-0.068243183100000104,-0.1142331543184999,0.33528172566400016,-0.075660920390499875,-0.11423315431799996,-0.51924161053899998,same,same,worse,same,same,same,same,same,same,same
sqlite_59,0.34704694598725006,0.37018340905299996,1.03693420831075,1.2472656907290001,1.611139155309,1.7057883223957497,1.1147568568085,1.3629480060584998,1.3713612653557496,1.3040551909807498,same,same,same,same,same,same,same,better,same,same
sqlite_44,0.13413816230749998,-2.0000667788622195e-12,0.20120724346050012,0.93896713615199989,1.37491616365,1.3413816230725,1.509054325957,1.4755197853794999,1.5090543259549998,1.8779342722969998,same,same,same,same,same,same,better,same,same,better
sqlite_45,0.33907624633000033,-0.21077712610330046,0.79728739002500015,0.57734604105329979,1.1088709677350002,2.0436217008799993,1.7320381231682997,2.0252932551283003,-0.10997067448499998,1.9794721407634008,same,same,same,same,better,same,same,same,same,same
sqlite_94,-0.23519108187899995,-0.091737088657000032,-1.1460852719904997,0.015273403591000045,0.18540751954099999,-0.090867084654999986,-0.121897227394,0.70779658919700006,0.61518949653599997,-0.92906760703999947,worse,worse,worse,same,same,same,same,same,same,same
sqlite_97,-1.9505743118419998,0.065899533825999945,-0.87656757867410007,-3.832706509421,0.16516394973845,0.11228865448745001,0.087070407685049978,0.11882671847349996,0.16822542414449998,-0.72012104758395012,worse,same,worse,same,same,same,same,same,same,same
sqlite_96,-0.51452180776340017,-0.0039607967027500135,-4.8729252344787497,0.044332290800500052,0.00076352707499999228,0.0051060873148499608,-1.6301780258801002,0.083367612517500023,-0.34707077609549991,-0.36191183361849999,worse,worse,worse,same,same,same,worse,same,same,same
