spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,<$solving_time_feature20_2_7_10286
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995024875622
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00497512437811
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.999004975124
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.997014925373
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.000995024875622
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.454726368159
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00199004975124
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999004975124
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.00298507462687
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.999004975124
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.000995024875622
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.999004975124
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.000995024875622
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.999004975124
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0139303482587
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.999004975124
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.00597014925373
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.999004975124
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0139303482587
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.999004975124
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.00597014925373
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.999004975124
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0119402985075
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.999004975124
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.00597014925373
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.998009950249
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0129353233831
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.999004975124
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.00597014925373
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.998009950249
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00298507462687
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.997014925373
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.997014925373
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.00398009950249
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.997014925373
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.0
1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.997014925373
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.00398009950249
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.996019900498
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.0
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.995024875622
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.00398009950249
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.997014925373
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.997014925373
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.00398009950249
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.997014925373
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0.997014925373
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.00398009950249
1,0,1,0,1,1,0,0,0,0,0,0,0,0,0.997014925373
0,1,1,0,1,1,0,0,0,0,0,0,0,0,0.0
1,1,1,0,1,1,0,0,0,0,0,0,0,0,0.997014925373
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.00398009950249
1,0,0,1,1,1,0,0,0,0,0,0,0,0,0.997014925373
0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.0
1,1,0,1,1,1,0,0,0,0,0,0,0,0,0.997014925373
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.00298507462687
1,0,1,1,1,1,0,0,0,0,0,0,0,0,0.997014925373
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.997014925373
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00298507462687
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.995024875622
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.00597014925373
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.997014925373
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.00398009950249
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.21592039801
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.00696517412935
1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.996019900498
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.00298507462687
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.997014925373
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.0129353233831
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0.997014925373
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.00298507462687
1,0,1,1,0,0,1,0,0,0,0,0,0,0,0.542288557214
0,1,1,1,0,0,1,0,0,0,0,0,0,0,0.0268656716418
1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.832835820896
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.00298507462687
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.997014925373
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.00696517412935
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0.995024875622
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.00199004975124
1,0,1,0,1,0,1,0,0,0,0,0,0,0,0.996019900498
0,1,1,0,1,0,1,0,0,0,0,0,0,0,0.00597014925373
1,1,1,0,1,0,1,0,0,0,0,0,0,0,0.997014925373
0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.00199004975124
1,0,0,1,1,0,1,0,0,0,0,0,0,0,0.995024875622
0,1,0,1,1,0,1,0,0,0,0,0,0,0,0.00796019900498
1,1,0,1,1,0,1,0,0,0,0,0,0,0,0.689552238806
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.00298507462687
1,0,1,1,1,0,1,0,0,0,0,0,0,0,0.117412935323
0,1,1,1,1,0,1,0,0,0,0,0,0,0,0.0089552238806
1,1,1,1,1,0,1,0,0,0,0,0,0,0,0.995024875622
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.00398009950249
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.996019900498
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.00796019900498
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.970149253731
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.00398009950249
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.996019900498
0,1,1,0,0,1,1,0,0,0,0,0,0,0,0.0089552238806
1,1,1,0,0,1,1,0,0,0,0,0,0,0,0.996019900498
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.00398009950249
1,0,0,1,0,1,1,0,0,0,0,0,0,0,0.995024875622
0,1,0,1,0,1,1,0,0,0,0,0,0,0,0.00796019900498
1,1,0,1,0,1,1,0,0,0,0,0,0,0,0.571144278607
0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.00398009950249
1,0,1,1,0,1,1,0,0,0,0,0,0,0,0.996019900498
0,1,1,1,0,1,1,0,0,0,0,0,0,0,0.00796019900498
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.995024875622
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.00398009950249
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.996019900498
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0.00995024875622
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0.995024875622
0,0,1,0,1,1,1,0,0,0,0,0,0,0,0.00398009950249
1,0,1,0,1,1,1,0,0,0,0,0,0,0,0.996019900498
0,1,1,0,1,1,1,0,0,0,0,0,0,0,0.00796019900498
1,1,1,0,1,1,1,0,0,0,0,0,0,0,0.997014925373
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.00398009950249
1,0,0,1,1,1,1,0,0,0,0,0,0,0,0.995024875622
0,1,0,1,1,1,1,0,0,0,0,0,0,0,0.0089552238806
1,1,0,1,1,1,1,0,0,0,0,0,0,0,0.997014925373
0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.00398009950249
1,0,1,1,1,1,1,0,0,0,0,0,0,0,0.996019900498
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0.00696517412935
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.997014925373
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0149253731343
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.995024875622
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.00995024875622
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.995024875622
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0139303482587
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.995024875622
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.00995024875622
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.995024875622
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.01592039801
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.995024875622
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.0089552238806
1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.995024875622
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.0149253731343
1,0,1,1,0,0,0,1,0,0,0,0,0,0,0.995024875622
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0.0089552238806
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0.995024875622
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0109452736318
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0109452736318
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.0129353233831
1,1,0,0,1,0,0,1,0,0,0,0,0,0,0.996019900498
0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.0119402985075
1,0,1,0,1,0,0,1,0,0,0,0,0,0,0.00995024875622
0,1,1,0,1,0,0,1,0,0,0,0,0,0,0.0119402985075
1,1,1,0,1,0,0,1,0,0,0,0,0,0,0.995024875622
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0109452736318
1,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0109452736318
0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0119402985075
1,1,0,1,1,0,0,1,0,0,0,0,0,0,0.995024875622
0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.00995024875622
1,0,1,1,1,0,0,1,0,0,0,0,0,0,0.00995024875622
0,1,1,1,1,0,0,1,0,0,0,0,0,0,0.0139303482587
1,1,1,1,1,0,0,1,0,0,0,0,0,0,0.995024875622
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0149253731343
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.0
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.0547263681592
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.0
