SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqsync.2
0,0,0,1,0,1,1,0,0,1,1,1,1,0,2969.5
0,0,0,0,1,0,1,0,0,1,0,0,0,1,2994.2
0,1,0,1,0,1,0,1,0,0,1,0,1,1,2961.5
1,1,0,0,0,1,0,0,1,1,0,1,0,1,2991.0
1,0,0,1,1,1,0,1,1,1,0,0,1,1,2978.3
1,1,1,1,0,0,1,0,1,1,1,0,1,0,2935.9
0,1,1,1,1,1,1,0,0,1,0,1,1,0,2970.6
1,0,1,0,1,0,0,1,1,1,0,0,0,1,2972.5
1,0,1,1,1,0,1,0,1,1,1,1,1,0,2982.3
1,0,0,1,1,1,0,1,1,0,1,1,0,0,2970.5
0,1,0,1,0,1,1,0,0,1,0,1,0,0,2993.1
0,0,0,1,0,1,0,1,0,1,1,1,0,0,2981.3
0,1,0,0,1,1,0,0,1,0,1,0,1,0,2974.1
0,1,1,1,1,0,0,1,0,1,0,0,1,0,2955.7
1,1,0,1,1,0,0,1,1,0,1,0,0,0,2984.9
0,0,1,0,1,1,0,1,1,1,0,0,0,0,2940.7
1,0,0,0,1,0,0,1,1,0,0,1,0,1,2997.1
1,1,0,0,0,0,0,1,0,0,1,1,1,1,2967.5
1,1,0,1,0,0,1,0,0,1,0,1,0,0,2975.1
0,0,0,0,0,1,0,1,1,0,0,1,0,1,2958.3
0,1,1,1,1,0,0,0,0,1,0,0,1,1,2962.4
1,0,0,0,1,1,0,0,1,1,1,0,0,0,2969.0
0,1,1,1,0,0,0,0,0,0,1,0,1,1,2966.5
1,1,1,1,1,0,0,1,0,1,1,0,1,0,2964.2
1,1,0,1,0,0,0,0,1,1,0,0,1,1,2958.6
0,0,1,0,0,0,1,0,1,1,0,1,0,0,2975.4
0,1,1,0,1,1,0,1,1,0,0,1,1,0,2968.0
1,0,0,1,1,0,1,1,0,0,0,1,1,0,2965.6
1,1,1,0,0,0,1,0,1,0,0,0,0,1,2953.6
0,0,0,0,1,0,0,0,1,0,1,0,1,0,2964.1
0,0,0,0,1,0,0,0,0,1,1,1,1,0,2981.2
1,0,1,1,1,1,0,1,0,0,0,1,0,0,2956.9
0,1,0,1,0,0,0,0,1,0,0,0,0,1,2973.3
0,1,0,1,0,0,0,0,0,0,1,1,0,1,2963.2
1,1,0,1,1,1,0,1,0,0,0,0,0,0,2958.3
0,1,1,0,0,0,1,0,0,1,1,1,0,0,2978.7
0,1,1,0,0,0,0,1,0,1,1,0,0,1,2982.8
1,1,1,0,1,1,0,0,1,0,1,1,1,1,2970.5
0,0,0,0,1,0,1,0,1,0,1,0,1,0,2959.8
0,0,0,1,1,1,0,0,0,0,0,1,1,1,2978.8
1,0,0,0,1,0,1,1,0,0,1,0,1,0,2986.2
1,0,0,1,0,1,0,1,1,0,0,0,1,0,2958.3
0,1,1,0,0,0,1,1,1,1,1,1,0,0,2974.1
1,0,1,1,0,0,0,0,1,1,1,0,1,0,2962.0
0,0,0,1,1,0,0,1,0,1,1,0,1,1,3012.2
1,1,1,1,1,0,0,1,1,1,0,0,1,0,2969.1
1,0,1,0,0,1,1,1,1,0,1,1,0,1,2963.0
0,1,0,1,1,1,0,0,1,1,0,0,1,0,2963.7
0,1,1,1,1,1,1,0,1,1,1,0,1,0,2977.3
0,1,0,1,0,0,1,1,1,1,1,0,0,0,2961.9
1,0,1,1,1,0,1,0,1,1,0,1,1,0,2981.4
1,0,0,1,1,1,1,0,0,0,1,1,1,0,2974.2
1,0,0,1,0,0,1,1,0,0,0,0,0,1,2989.5
1,1,1,0,0,1,0,0,1,0,1,0,1,1,2970.3
0,0,1,1,0,1,0,1,1,1,0,0,0,0,2960.0
1,0,0,0,1,1,0,1,0,1,1,1,1,0,2970.0
1,1,1,0,0,0,0,1,0,0,0,0,0,1,2957.2
0,0,1,0,1,1,1,0,0,0,1,0,0,0,2966.5
1,1,1,0,0,0,0,0,0,1,1,0,0,0,2946.3
0,0,0,0,0,1,1,1,1,0,0,1,1,0,2964.6
0,0,1,1,1,0,1,1,0,0,1,0,0,0,2967.8
0,1,0,0,0,1,1,1,1,1,0,1,1,0,2970.5
0,0,0,1,0,0,0,0,0,1,1,0,0,1,2995.9
1,0,0,0,1,1,0,1,0,1,1,1,0,0,2961.5
0,0,1,1,0,0,1,1,0,1,1,1,1,0,2975.7
0,1,1,1,1,0,1,0,0,0,1,0,1,0,2977.8
0,0,0,1,0,0,0,0,0,1,0,1,1,0,2991.1
0,1,0,1,0,0,1,0,0,1,1,0,1,1,2966.3
0,0,1,1,1,0,1,0,1,1,1,0,1,0,2961.4
0,0,0,1,1,0,1,0,1,1,0,0,1,0,2960.6
0,0,1,0,0,0,0,0,1,0,1,0,1,1,2967.1
0,0,1,0,1,0,1,0,0,0,0,0,0,1,2956.5
0,1,1,1,1,1,1,0,1,1,0,1,1,1,2959.9
1,1,0,1,0,0,0,1,0,1,0,1,0,0,2964.5
1,0,1,1,0,0,0,1,1,1,1,0,0,0,2965.9
1,1,0,0,1,1,1,0,0,0,0,1,1,0,2958.6
1,0,0,1,1,1,1,0,1,1,1,1,0,1,2973.1
0,0,0,0,0,1,0,1,0,0,0,0,0,1,2947.2
1,1,1,1,1,1,1,1,1,1,1,0,0,1,2979.8
0,0,1,1,0,0,1,1,0,0,1,1,0,0,2988.1
1,1,1,0,1,0,1,1,1,1,0,1,0,0,2973.2
0,0,0,1,1,0,0,0,0,1,1,0,1,0,2966.3
1,1,0,0,1,0,0,0,1,0,0,1,1,0,2952.2
0,1,0,1,1,0,0,0,0,0,0,1,1,0,2972.6
1,0,0,1,0,1,0,0,1,1,1,1,1,0,2969.6
1,1,1,1,1,1,0,0,1,1,1,0,0,0,2974.0
1,0,1,0,1,1,0,0,1,1,1,1,0,1,2982.0
0,0,1,1,0,1,0,1,0,0,1,1,0,1,2999.4
0,1,0,1,0,0,1,1,1,1,1,0,1,1,2972.4
1,0,0,1,1,1,1,0,1,0,0,1,1,0,2982.1
1,0,0,1,1,0,1,0,1,1,0,1,1,0,2993.6
0,0,1,1,0,0,0,0,1,1,0,0,1,0,2967.6
0,0,0,0,1,1,1,1,1,0,1,0,1,0,2955.6
1,0,0,1,1,1,1,1,1,0,1,0,0,1,2964.0
1,1,0,0,0,1,0,0,1,0,0,1,0,0,2950.5
1,0,1,1,0,0,0,0,0,0,1,1,0,0,2942.4
1,0,1,0,1,0,0,0,1,0,0,1,0,0,2951.6
0,1,1,1,1,1,0,1,1,0,0,0,0,0,2962.6
0,1,0,0,0,1,0,0,1,0,1,1,0,0,2964.7
1,0,0,0,1,1,0,0,0,1,1,0,0,1,2959.9
1,1,0,1,1,0,0,1,1,0,0,1,0,0,2959.2
1,0,1,1,0,1,0,1,1,1,1,0,1,1,2961.0
0,1,1,0,1,1,1,0,0,1,1,0,0,1,2997.6
1,1,0,1,0,0,1,1,0,0,1,1,1,0,2964.6
0,1,0,1,1,0,1,1,0,1,1,0,1,0,2943.7
1,0,0,1,1,0,1,1,0,1,0,1,0,1,2965.3
1,1,1,0,1,0,0,0,1,0,0,0,0,1,2966.8
0,0,1,1,0,0,1,0,0,1,0,1,0,1,2971.5
0,1,1,0,0,0,1,1,0,0,1,0,0,1,2949.8
0,1,1,1,1,1,0,0,0,1,1,1,0,1,2985.3
1,0,1,0,0,0,1,0,1,0,0,1,0,0,2976.2
0,0,1,0,0,1,1,0,1,0,0,0,1,1,2938.0
1,1,1,0,0,0,0,1,0,0,1,1,1,1,2946.2
0,0,0,1,0,1,1,1,1,1,0,0,0,0,2961.2
0,1,1,0,0,0,0,0,1,0,1,1,1,1,2966.3
0,1,0,0,0,0,0,1,0,1,1,1,1,0,2974.8
0,1,1,1,1,0,1,1,1,1,1,0,0,0,2962.4
0,0,0,1,1,0,0,0,0,1,1,1,0,1,2961.1
1,0,1,0,0,1,0,0,0,0,0,0,1,1,2991.1
1,0,1,0,1,1,0,0,1,1,0,1,0,0,2963.0
0,1,1,1,0,1,0,0,0,0,0,1,0,0,2961.8
1,0,1,1,0,1,0,1,0,0,0,0,1,1,2943.5
0,1,1,1,1,0,0,1,1,1,1,0,0,0,2971.0
0,1,0,1,1,0,1,0,0,1,1,0,1,0,2950.6
0,0,1,1,1,0,0,1,1,1,1,0,1,0,2982.9
1,0,1,1,1,1,1,1,0,1,1,0,1,0,2949.8
0,0,1,1,1,0,1,0,0,1,1,1,0,1,2960.3
1,1,0,0,0,0,1,1,1,1,1,0,1,0,2959.5
0,1,1,1,0,1,0,0,0,0,1,1,1,0,2963.4
1,1,1,1,0,1,1,1,1,1,1,0,1,1,2945.7
1,1,1,0,0,0,1,0,0,1,1,0,1,1,2965.5
1,0,0,0,0,1,1,1,1,1,0,1,1,0,2961.6
1,1,0,1,1,0,1,1,0,1,0,1,1,1,2952.9
1,0,1,1,1,1,0,0,1,0,1,0,0,1,2968.4
0,0,1,1,0,0,1,0,0,0,1,0,1,0,2966.5
1,1,0,1,0,1,0,1,0,1,0,0,0,0,2953.1
1,1,1,0,0,1,1,0,1,0,0,1,0,0,2941.6
1,1,0,1,0,1,1,0,1,1,0,1,0,1,2965.9
1,0,1,0,1,0,1,1,0,1,0,1,1,0,2970.3
1,0,1,1,0,1,0,0,1,0,1,1,0,1,2950.7
1,0,0,0,1,0,0,1,0,1,1,0,1,1,2938.6
1,0,0,1,0,0,0,1,1,1,1,0,0,0,2954.9
1,0,1,0,0,1,1,1,1,1,1,0,0,1,2972.9
1,0,0,0,0,1,0,1,0,0,0,0,1,0,2941.4
0,1,1,1,1,1,0,0,1,1,0,0,1,1,2958.0
1,1,1,1,1,1,0,1,0,0,0,1,1,0,2958.9
1,1,1,1,0,0,1,0,1,1,0,0,1,0,2976.3
0,1,0,1,0,0,1,0,1,0,0,1,0,0,2994.0
0,1,0,1,1,0,1,0,1,1,1,0,0,1,2964.2
0,0,1,1,0,1,0,1,1,0,0,0,0,0,2990.7
0,0,1,1,0,1,0,1,0,1,0,0,1,0,2950.9
0,0,0,1,1,0,0,0,0,1,1,0,1,0,2955.9
0,1,1,0,1,0,0,1,0,0,0,1,1,0,2948.3
0,1,1,1,0,1,0,1,0,0,1,1,1,1,2957.0
1,1,0,0,1,1,1,0,0,1,1,1,1,1,2990.2
1,1,1,0,0,0,0,1,1,0,0,1,1,1,2970.9
1,1,1,1,1,1,0,1,1,0,0,0,1,0,2972.5
1,1,0,0,0,1,0,1,1,0,1,1,1,0,2967.7
0,1,0,0,0,1,0,1,1,0,0,1,0,0,2970.8
1,0,1,1,1,1,0,1,1,0,0,1,1,1,2956.9
1,0,0,1,1,1,0,0,1,0,1,0,1,1,2952.3
0,1,0,1,1,1,0,1,1,0,0,1,1,0,2978.2
1,1,1,1,1,1,1,1,1,0,0,0,1,0,2970.5
0,0,1,1,1,1,0,1,1,1,1,1,1,1,2984.1
0,1,1,0,0,0,0,0,0,1,0,1,1,1,2948.2
1,0,1,0,0,0,1,1,1,0,0,0,0,1,2965.4
1,1,0,1,0,0,0,0,0,0,0,0,1,0,2943.9
0,1,1,0,1,1,1,1,1,1,0,0,1,1,2961.2
1,1,1,1,1,0,1,0,1,0,0,0,1,1,3012.0
1,1,1,0,0,1,0,0,0,1,1,1,0,0,2979.2
0,1,1,1,1,0,1,0,0,1,1,1,1,0,2982.5
1,1,1,1,1,0,1,0,1,1,0,1,1,0,2947.6
1,0,0,0,1,0,1,1,1,1,0,0,0,0,2940.3
