SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqsync.1
0,0,0,1,0,1,1,0,0,1,1,1,1,0,2566.0
0,0,0,0,1,0,1,0,0,1,0,0,0,1,2560.5
0,1,0,1,0,1,0,1,0,0,1,0,1,1,2572.3
1,1,0,0,0,1,0,0,1,1,0,1,0,1,2564.1
1,0,0,1,1,1,0,1,1,1,0,0,1,1,2563.0
1,1,1,1,0,0,1,0,1,1,1,0,1,0,2539.1
0,1,1,1,1,1,1,0,0,1,0,1,1,0,2556.8
1,0,1,0,1,0,0,1,1,1,0,0,0,1,2549.5
1,0,1,1,1,0,1,0,1,1,1,1,1,0,2574.8
1,0,0,1,1,1,0,1,1,0,1,1,0,0,2554.8
0,1,0,1,0,1,1,0,0,1,0,1,0,0,2543.6
0,0,0,1,0,1,0,1,0,1,1,1,0,0,2554.7
0,1,0,0,1,1,0,0,1,0,1,0,1,0,2552.5
0,1,1,1,1,0,0,1,0,1,0,0,1,0,2536.3
1,1,0,1,1,0,0,1,1,0,1,0,0,0,2550.1
0,0,1,0,1,1,0,1,1,1,0,0,0,0,2551.3
1,0,0,0,1,0,0,1,1,0,0,1,0,1,2548.2
1,1,0,0,0,0,0,1,0,0,1,1,1,1,2537.5
1,1,0,1,0,0,1,0,0,1,0,1,0,0,2545.3
0,0,0,0,0,1,0,1,1,0,0,1,0,1,2571.8
0,1,1,1,1,0,0,0,0,1,0,0,1,1,2542.5
1,0,0,0,1,1,0,0,1,1,1,0,0,0,2545.4
0,1,1,1,0,0,0,0,0,0,1,0,1,1,2528.3
1,1,1,1,1,0,0,1,0,1,1,0,1,0,2538.0
1,1,0,1,0,0,0,0,1,1,0,0,1,1,2545.3
0,0,1,0,0,0,1,0,1,1,0,1,0,0,2557.9
0,1,1,0,1,1,0,1,1,0,0,1,1,0,2548.1
1,0,0,1,1,0,1,1,0,0,0,1,1,0,2530.8
1,1,1,0,0,0,1,0,1,0,0,0,0,1,2537.0
0,0,0,0,1,0,0,0,1,0,1,0,1,0,2533.4
0,0,0,0,1,0,0,0,0,1,1,1,1,0,2547.0
1,0,1,1,1,1,0,1,0,0,0,1,0,0,2527.7
0,1,0,1,0,0,0,0,1,0,0,0,0,1,2557.5
0,1,0,1,0,0,0,0,0,0,1,1,0,1,2542.8
1,1,0,1,1,1,0,1,0,0,0,0,0,0,2528.2
0,1,1,0,0,0,1,0,0,1,1,1,0,0,2532.3
0,1,1,0,0,0,0,1,0,1,1,0,0,1,2537.3
1,1,1,0,1,1,0,0,1,0,1,1,1,1,2540.0
0,0,0,0,1,0,1,0,1,0,1,0,1,0,2528.7
0,0,0,1,1,1,0,0,0,0,0,1,1,1,2536.0
1,0,0,0,1,0,1,1,0,0,1,0,1,0,2539.7
1,0,0,1,0,1,0,1,1,0,0,0,1,0,2519.6
0,1,1,0,0,0,1,1,1,1,1,1,0,0,2537.0
1,0,1,1,0,0,0,0,1,1,1,0,1,0,2526.0
0,0,0,1,1,0,0,1,0,1,1,0,1,1,2542.2
1,1,1,1,1,0,0,1,1,1,0,0,1,0,2528.9
1,0,1,0,0,1,1,1,1,0,1,1,0,1,2532.7
0,1,0,1,1,1,0,0,1,1,0,0,1,0,2520.2
0,1,1,1,1,1,1,0,1,1,1,0,1,0,2520.0
0,1,0,1,0,0,1,1,1,1,1,0,0,0,2537.1
1,0,1,1,1,0,1,0,1,1,0,1,1,0,2551.6
1,0,0,1,1,1,1,0,0,0,1,1,1,0,2529.9
1,0,0,1,0,0,1,1,0,0,0,0,0,1,2529.2
1,1,1,0,0,1,0,0,1,0,1,0,1,1,2524.5
0,0,1,1,0,1,0,1,1,1,0,0,0,0,2537.6
1,0,0,0,1,1,0,1,0,1,1,1,1,0,2567.1
1,1,1,0,0,0,0,1,0,0,0,0,0,1,2533.7
0,0,1,0,1,1,1,0,0,0,1,0,0,0,2528.5
1,1,1,0,0,0,0,0,0,1,1,0,0,0,2511.0
0,0,0,0,0,1,1,1,1,0,0,1,1,0,2542.2
