SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrand100K.2
0,0,0,1,0,1,1,0,0,1,1,1,1,0,31.952
0,0,0,0,1,0,1,0,0,1,0,0,0,1,32.047
0,1,0,1,0,1,0,1,0,0,1,0,1,1,30.931
1,1,0,0,0,1,0,0,1,1,0,1,0,1,31.945
1,0,0,1,1,1,0,1,1,1,0,0,1,1,33.198
1,1,1,1,0,0,1,0,1,1,1,0,1,0,32.287
0,1,1,1,1,1,1,0,0,1,0,1,1,0,33.243
1,0,1,0,1,0,0,1,1,1,0,0,0,1,32.457
1,0,1,1,1,0,1,0,1,1,1,1,1,0,33.158
1,0,0,1,1,1,0,1,1,0,1,1,0,0,32.811
0,1,0,1,0,1,1,0,0,1,0,1,0,0,32.874
0,0,0,1,0,1,0,1,0,1,1,1,0,0,32.432
0,1,0,0,1,1,0,0,1,0,1,0,1,0,32.164
0,1,1,1,1,0,0,1,0,1,0,0,1,0,31.154
1,1,0,1,1,0,0,1,1,0,1,0,0,0,33.055
0,0,1,0,1,1,0,1,1,1,0,0,0,0,33.236
1,0,0,0,1,0,0,1,1,0,0,1,0,1,32.662
1,1,0,0,0,0,0,1,0,0,1,1,1,1,30.646
1,1,0,1,0,0,1,0,0,1,0,1,0,0,32.758
0,0,0,0,0,1,0,1,1,0,0,1,0,1,32.697
0,1,1,1,1,0,0,0,0,1,0,0,1,1,32.105
1,0,0,0,1,1,0,0,1,1,1,0,0,0,33.257
0,1,1,1,0,0,0,0,0,0,1,0,1,1,32.494
1,1,1,1,1,0,0,1,0,1,1,0,1,0,32.813
1,1,0,1,0,0,0,0,1,1,0,0,1,1,33.106
0,0,1,0,0,0,1,0,1,1,0,1,0,0,33.104
0,1,1,0,1,1,0,1,1,0,0,1,1,0,31.261
1,0,0,1,1,0,1,1,0,0,0,1,1,0,31.497
1,1,1,0,0,0,1,0,1,0,0,0,0,1,31.949
0,0,0,0,1,0,0,0,1,0,1,0,1,0,30.481
0,0,0,0,1,0,0,0,0,1,1,1,1,0,31.286
1,0,1,1,1,1,0,1,0,0,0,1,0,0,31.581
0,1,0,1,0,0,0,0,1,0,0,0,0,1,33.163
0,1,0,1,0,0,0,0,0,0,1,1,0,1,31.398
1,1,0,1,1,1,0,1,0,0,0,0,0,0,33.004
0,1,1,0,0,0,1,0,0,1,1,1,0,0,31.566
0,1,1,0,0,0,0,1,0,1,1,0,0,1,31.971
1,1,1,0,1,1,0,0,1,0,1,1,1,1,32.864
0,0,0,0,1,0,1,0,1,0,1,0,1,0,33.254
0,0,0,1,1,1,0,0,0,0,0,1,1,1,32.746
1,0,0,0,1,0,1,1,0,0,1,0,1,0,31.859
1,0,0,1,0,1,0,1,1,0,0,0,1,0,31.509
0,1,1,0,0,0,1,1,1,1,1,1,0,0,33.486
1,0,1,1,0,0,0,0,1,1,1,0,1,0,30.955
0,0,0,1,1,0,0,1,0,1,1,0,1,1,33.304
1,1,1,1,1,0,0,1,1,1,0,0,1,0,32.362
1,0,1,0,0,1,1,1,1,0,1,1,0,1,30.481
0,1,0,1,1,1,0,0,1,1,0,0,1,0,31.725
0,1,1,1,1,1,1,0,1,1,1,0,1,0,32.134
0,1,0,1,0,0,1,1,1,1,1,0,0,0,32.178
1,0,1,1,1,0,1,0,1,1,0,1,1,0,33.204
1,0,0,1,1,1,1,0,0,0,1,1,1,0,32.984
1,0,0,1,0,0,1,1,0,0,0,0,0,1,30.758
1,1,1,0,0,1,0,0,1,0,1,0,1,1,31.593
0,0,1,1,0,1,0,1,1,1,0,0,0,0,33.121
1,0,0,0,1,1,0,1,0,1,1,1,1,0,32.136
1,1,1,0,0,0,0,1,0,0,0,0,0,1,31.68
0,0,1,0,1,1,1,0,0,0,1,0,0,0,30.611
1,1,1,0,0,0,0,0,0,1,1,0,0,0,31.101
0,0,0,0,0,1,1,1,1,0,0,1,1,0,31.992
0,0,1,1,1,0,1,1,0,0,1,0,0,0,34.124
0,1,0,0,0,1,1,1,1,1,0,1,1,0,32.384
0,0,0,1,0,0,0,0,0,1,1,0,0,1,33.287
1,0,0,0,1,1,0,1,0,1,1,1,0,0,32.895
0,0,1,1,0,0,1,1,0,1,1,1,1,0,37.043
0,1,1,1,1,0,1,0,0,0,1,0,1,0,32.411
0,0,0,1,0,0,0,0,0,1,0,1,1,0,33.098
0,1,0,1,0,0,1,0,0,1,1,0,1,1,32.476
0,0,1,1,1,0,1,0,1,1,1,0,1,0,30.621
0,0,0,1,1,0,1,0,1,1,0,0,1,0,32.101
0,0,1,0,0,0,0,0,1,0,1,0,1,1,32.97
0,0,1,0,1,0,1,0,0,0,0,0,0,1,31.628
0,1,1,1,1,1,1,0,1,1,0,1,1,1,32.335
1,1,0,1,0,0,0,1,0,1,0,1,0,0,32.736
1,0,1,1,0,0,0,1,1,1,1,0,0,0,32.504
1,1,0,0,1,1,1,0,0,0,0,1,1,0,31.6
