SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandom.3
0,0,0,1,0,1,1,0,0,1,1,1,1,0,21.233
0,0,0,0,1,0,1,0,0,1,0,0,0,1,17.529
0,1,0,1,0,1,0,1,0,0,1,0,1,1,18.144
1,1,0,0,0,1,0,0,1,1,0,1,0,1,21.337
1,0,0,1,1,1,0,1,1,1,0,0,1,1,17.637
1,1,1,1,0,0,1,0,1,1,1,0,1,0,17.697
0,1,1,1,1,1,1,0,0,1,0,1,1,0,21.54
1,0,1,0,1,0,0,1,1,1,0,0,0,1,17.662
1,0,1,1,1,0,1,0,1,1,1,1,1,0,20.831
1,0,0,1,1,1,0,1,1,0,1,1,0,0,20.96
0,1,0,1,0,1,1,0,0,1,0,1,0,0,20.89
0,0,0,1,0,1,0,1,0,1,1,1,0,0,20.811
0,1,0,0,1,1,0,0,1,0,1,0,1,0,17.261
0,1,1,1,1,0,0,1,0,1,0,0,1,0,17.459
1,1,0,1,1,0,0,1,1,0,1,0,0,0,17.656
0,0,1,0,1,1,0,1,1,1,0,0,0,0,17.607
1,0,0,0,1,0,0,1,1,0,0,1,0,1,20.678
1,1,0,0,0,0,0,1,0,0,1,1,1,1,21.173
1,1,0,1,0,0,1,0,0,1,0,1,0,0,20.979
0,0,0,0,0,1,0,1,1,0,0,1,0,1,20.802
0,1,1,1,1,0,0,0,0,1,0,0,1,1,17.713
1,0,0,0,1,1,0,0,1,1,1,0,0,0,17.522
0,1,1,1,0,0,0,0,0,0,1,0,1,1,17.789
1,1,1,1,1,0,0,1,0,1,1,0,1,0,17.795
