SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readseq.10
0,0,0,1,0,1,1,0,0,1,1,1,1,0,3.754
0,0,0,0,1,0,1,0,0,1,0,0,0,1,3.936
0,1,0,1,0,1,0,1,0,0,1,0,1,1,3.797
1,1,0,0,0,1,0,0,1,1,0,1,0,1,3.892
1,0,0,1,1,1,0,1,1,1,0,0,1,1,3.756
1,1,1,1,0,0,1,0,1,1,1,0,1,0,3.745
0,1,1,1,1,1,1,0,0,1,0,1,1,0,3.809
1,0,1,0,1,0,0,1,1,1,0,0,0,1,4.098
1,0,1,1,1,0,1,0,1,1,1,1,1,0,3.882
1,0,0,1,1,1,0,1,1,0,1,1,0,0,3.699
0,1,0,1,0,1,1,0,0,1,0,1,0,0,3.781
0,0,0,1,0,1,0,1,0,1,1,1,0,0,3.823
0,1,0,0,1,1,0,0,1,0,1,0,1,0,3.843
0,1,1,1,1,0,0,1,0,1,0,0,1,0,3.71
1,1,0,1,1,0,0,1,1,0,1,0,0,0,3.712
0,0,1,0,1,1,0,1,1,1,0,0,0,0,3.735
1,0,0,0,1,0,0,1,1,0,0,1,0,1,3.82
1,1,0,0,0,0,0,1,0,0,1,1,1,1,4.957
1,1,0,1,0,0,1,0,0,1,0,1,0,0,5.692
0,0,0,0,0,1,0,1,1,0,0,1,0,1,3.754
0,1,1,1,1,0,0,0,0,1,0,0,1,1,3.749
1,0,0,0,1,1,0,0,1,1,1,0,0,0,3.773
0,1,1,1,0,0,0,0,0,0,1,0,1,1,3.718
1,1,1,1,1,0,0,1,0,1,1,0,1,0,3.715
1,1,0,1,0,0,0,0,1,1,0,0,1,1,3.694
0,0,1,0,0,0,1,0,1,1,0,1,0,0,3.78
0,1,1,0,1,1,0,1,1,0,0,1,1,0,3.734
1,0,0,1,1,0,1,1,0,0,0,1,1,0,3.711
1,1,1,0,0,0,1,0,1,0,0,0,0,1,3.697
0,0,0,0,1,0,0,0,1,0,1,0,1,0,4.652
0,0,0,0,1,0,0,0,0,1,1,1,1,0,3.726
1,0,1,1,1,1,0,1,0,0,0,1,0,0,3.754
0,1,0,1,0,0,0,0,1,0,0,0,0,1,3.782
0,1,0,1,0,0,0,0,0,0,1,1,0,1,3.72
1,1,0,1,1,1,0,1,0,0,0,0,0,0,3.694
0,1,1,0,0,0,1,0,0,1,1,1,0,0,3.751
0,1,1,0,0,0,0,1,0,1,1,0,0,1,3.756
1,1,1,0,1,1,0,0,1,0,1,1,1,1,3.762
0,0,0,0,1,0,1,0,1,0,1,0,1,0,3.738
0,0,0,1,1,1,0,0,0,0,0,1,1,1,3.766
1,0,0,0,1,0,1,1,0,0,1,0,1,0,3.7
1,0,0,1,0,1,0,1,1,0,0,0,1,0,9.231
0,1,1,0,0,0,1,1,1,1,1,1,0,0,3.746
1,0,1,1,0,0,0,0,1,1,1,0,1,0,6.51
0,0,0,1,1,0,0,1,0,1,1,0,1,1,3.711
1,1,1,1,1,0,0,1,1,1,0,0,1,0,5.219
1,0,1,0,0,1,1,1,1,0,1,1,0,1,3.713
0,1,0,1,1,1,0,0,1,1,0,0,1,0,3.694
0,1,1,1,1,1,1,0,1,1,1,0,1,0,3.748
0,1,0,1,0,0,1,1,1,1,1,0,0,0,3.709
1,0,1,1,1,0,1,0,1,1,0,1,1,0,6.531
1,0,0,1,1,1,1,0,0,0,1,1,1,0,3.775
1,0,0,1,0,0,1,1,0,0,0,0,0,1,3.935
1,1,1,0,0,1,0,0,1,0,1,0,1,1,3.667
0,0,1,1,0,1,0,1,1,1,0,0,0,0,3.749
1,0,0,0,1,1,0,1,0,1,1,1,1,0,3.74
1,1,1,0,0,0,0,1,0,0,0,0,0,1,4.395
0,0,1,0,1,1,1,0,0,0,1,0,0,0,3.769
1,1,1,0,0,0,0,0,0,1,1,0,0,0,3.696
0,0,0,0,0,1,1,1,1,0,0,1,1,0,3.714
0,0,1,1,1,0,1,1,0,0,1,0,0,0,3.71
0,1,0,0,0,1,1,1,1,1,0,1,1,0,3.813
0,0,0,1,0,0,0,0,0,1,1,0,0,1,3.762
1,0,0,0,1,1,0,1,0,1,1,1,0,0,3.787
0,0,1,1,0,0,1,1,0,1,1,1,1,0,3.75
0,1,1,1,1,0,1,0,0,0,1,0,1,0,3.702
0,0,0,1,0,0,0,0,0,1,0,1,1,0,3.762
0,1,0,1,0,0,1,0,0,1,1,0,1,1,3.702
0,0,1,1,1,0,1,0,1,1,1,0,1,0,3.732
0,0,0,1,1,0,1,0,1,1,0,0,1,0,3.721
0,0,1,0,0,0,0,0,1,0,1,0,1,1,3.721
0,0,1,0,1,0,1,0,0,0,0,0,0,1,3.765
0,1,1,1,1,1,1,0,1,1,0,1,1,1,3.814
1,1,0,1,0,0,0,1,0,1,0,1,0,0,3.759
1,0,1,1,0,0,0,1,1,1,1,0,0,0,3.72
1,1,0,0,1,1,1,0,0,0,0,1,1,0,3.805
1,0,0,1,1,1,1,0,1,1,1,1,0,1,3.716
0,0,0,0,0,1,0,1,0,0,0,0,0,1,3.943
1,1,1,1,1,1,1,1,1,1,1,0,0,1,3.684
0,0,1,1,0,0,1,1,0,0,1,1,0,0,3.754
1,1,1,0,1,0,1,1,1,1,0,1,0,0,3.733
0,0,0,1,1,0,0,0,0,1,1,0,1,0,3.748
1,1,0,0,1,0,0,0,1,0,0,1,1,0,3.723
0,1,0,1,1,0,0,0,0,0,0,1,1,0,3.75
1,0,0,1,0,1,0,0,1,1,1,1,1,0,3.735
1,1,1,1,1,1,0,0,1,1,1,0,0,0,3.767
1,0,1,0,1,1,0,0,1,1,1,1,0,1,3.75
0,0,1,1,0,1,0,1,0,0,1,1,0,1,3.825
0,1,0,1,0,0,1,1,1,1,1,0,1,1,3.741
1,0,0,1,1,1,1,0,1,0,0,1,1,0,3.706
1,0,0,1,1,0,1,0,1,1,0,1,1,0,6.275
0,0,1,1,0,0,0,0,1,1,0,0,1,0,3.695
0,0,0,0,1,1,1,1,1,0,1,0,1,0,3.679
1,0,0,1,1,1,1,1,1,0,1,0,0,1,3.693
1,1,0,0,0,1,0,0,1,0,0,1,0,0,3.748
1,0,1,1,0,0,0,0,0,0,1,1,0,0,3.76
1,0,1,0,1,0,0,0,1,0,0,1,0,0,3.754
0,1,1,1,1,1,0,1,1,0,0,0,0,0,6.543
0,1,0,0,0,1,0,0,1,0,1,1,0,0,3.714
1,0,0,0,1,1,0,0,0,1,1,0,0,1,3.73
1,1,0,1,1,0,0,1,1,0,0,1,0,0,3.706
1,0,1,1,0,1,0,1,1,1,1,0,1,1,3.707
0,1,1,0,1,1,1,0,0,1,1,0,0,1,3.692
1,1,0,1,0,0,1,1,0,0,1,1,1,0,3.868
0,1,0,1,1,0,1,1,0,1,1,0,1,0,5.185
1,0,0,1,1,0,1,1,0,1,0,1,0,1,3.778
1,1,1,0,1,0,0,0,1,0,0,0,0,1,3.751
0,0,1,1,0,0,1,0,0,1,0,1,0,1,3.782
0,1,1,0,0,0,1,1,0,0,1,0,0,1,3.662
0,1,1,1,1,1,0,0,0,1,1,1,0,1,4.23
1,0,1,0,0,0,1,0,1,0,0,1,0,0,3.736
0,0,1,0,0,1,1,0,1,0,0,0,1,1,3.744
1,1,1,0,0,0,0,1,0,0,1,1,1,1,3.703
0,0,0,1,0,1,1,1,1,1,0,0,0,0,3.774
0,1,1,0,0,0,0,0,1,0,1,1,1,1,4.261
0,1,0,0,0,0,0,1,0,1,1,1,1,0,3.749
0,1,1,1,1,0,1,1,1,1,1,0,0,0,3.702
0,0,0,1,1,0,0,0,0,1,1,1,0,1,3.744
1,0,1,0,0,1,0,0,0,0,0,0,1,1,3.733
1,0,1,0,1,1,0,0,1,1,0,1,0,0,6.63
0,1,1,1,0,1,0,0,0,0,0,1,0,0,3.747
1,0,1,1,0,1,0,1,0,0,0,0,1,1,3.725
0,1,1,1,1,0,0,1,1,1,1,0,0,0,3.721
0,1,0,1,1,0,1,0,0,1,1,0,1,0,3.741
0,0,1,1,1,0,0,1,1,1,1,0,1,0,3.774
1,0,1,1,1,1,1,1,0,1,1,0,1,0,3.759
0,0,1,1,1,0,1,0,0,1,1,1,0,1,3.71
1,1,0,0,0,0,1,1,1,1,1,0,1,0,3.723
0,1,1,1,0,1,0,0,0,0,1,1,1,0,3.761
1,1,1,1,0,1,1,1,1,1,1,0,1,1,3.792
1,1,1,0,0,0,1,0,0,1,1,0,1,1,3.723
1,0,0,0,0,1,1,1,1,1,0,1,1,0,3.717
1,1,0,1,1,0,1,1,0,1,0,1,1,1,3.791
1,0,1,1,1,1,0,0,1,0,1,0,0,1,3.693
0,0,1,1,0,0,1,0,0,0,1,0,1,0,3.706
1,1,0,1,0,1,0,1,0,1,0,0,0,0,3.727
1,1,1,0,0,1,1,0,1,0,0,1,0,0,3.776
1,1,0,1,0,1,1,0,1,1,0,1,0,1,3.717
1,0,1,0,1,0,1,1,0,1,0,1,1,0,3.751
1,0,1,1,0,1,0,0,1,0,1,1,0,1,3.763
1,0,0,0,1,0,0,1,0,1,1,0,1,1,3.756
1,0,0,1,0,0,0,1,1,1,1,0,0,0,3.814
1,0,1,0,0,1,1,1,1,1,1,0,0,1,3.687
1,0,0,0,0,1,0,1,0,0,0,0,1,0,3.745
0,1,1,1,1,1,0,0,1,1,0,0,1,1,3.827
1,1,1,1,1,1,0,1,0,0,0,1,1,0,3.724
1,1,1,1,0,0,1,0,1,1,0,0,1,0,3.702
0,1,0,1,0,0,1,0,1,0,0,1,0,0,3.749
0,1,0,1,1,0,1,0,1,1,1,0,0,1,3.733
0,0,1,1,0,1,0,1,1,0,0,0,0,0,3.74
0,0,1,1,0,1,0,1,0,1,0,0,1,0,3.712
0,0,0,1,1,0,0,0,0,1,1,0,1,0,3.744
0,1,1,0,1,0,0,1,0,0,0,1,1,0,3.749
0,1,1,1,0,1,0,1,0,0,1,1,1,1,3.84
1,1,0,0,1,1,1,0,0,1,1,1,1,1,3.699
1,1,1,0,0,0,0,1,1,0,0,1,1,1,3.741
1,1,1,1,1,1,0,1,1,0,0,0,1,0,3.784
1,1,0,0,0,1,0,1,1,0,1,1,1,0,3.702
0,1,0,0,0,1,0,1,1,0,0,1,0,0,4.988
1,0,1,1,1,1,0,1,1,0,0,1,1,1,3.741
1,0,0,1,1,1,0,0,1,0,1,0,1,1,3.696
0,1,0,1,1,1,0,1,1,0,0,1,1,0,3.734
1,1,1,1,1,1,1,1,1,0,0,0,1,0,3.75
0,0,1,1,1,1,0,1,1,1,1,1,1,1,3.782
0,1,1,0,0,0,0,0,0,1,0,1,1,1,3.771
1,0,1,0,0,0,1,1,1,0,0,0,0,1,3.718
1,1,0,1,0,0,0,0,0,0,0,0,1,0,3.717
0,1,1,0,1,1,1,1,1,1,0,0,1,1,3.855
1,1,1,1,1,0,1,0,1,0,0,0,1,1,3.678
1,1,1,0,0,1,0,0,0,1,1,1,0,0,3.77
0,1,1,1,1,0,1,0,0,1,1,1,1,0,4.137
1,1,1,1,1,0,1,0,1,1,0,1,1,0,3.716
1,0,0,0,1,0,1,1,1,1,0,0,0,0,3.697
0,1,0,0,0,1,0,1,1,0,0,1,1,1,3.718
0,1,0,0,1,0,0,1,1,1,0,0,1,1,3.669
0,1,1,0,0,0,0,0,1,1,0,1,0,1,3.799
1,0,0,1,1,1,0,1,0,1,1,1,1,0,3.791
0,0,1,0,1,0,0,1,1,1,1,0,1,0,3.702
0,1,1,1,1,0,0,1,1,1,1,1,1,1,3.716
1,0,0,1,1,1,0,1,0,1,1,1,0,1,3.739
0,0,0,1,0,0,1,0,0,1,1,1,1,1,3.768
1,0,0,0,1,1,1,0,0,0,0,0,0,0,3.831
1,1,0,1,0,1,1,0,1,1,0,0,0,1,3.838
1,1,1,0,1,0,1,1,0,0,1,1,0,1,3.76
0,0,1,0,0,0,0,0,1,0,0,0,0,1,3.704
1,1,0,1,1,0,1,0,1,1,1,1,1,1,3.762
0,0,1,1,1,1,0,1,0,0,0,1,0,1,3.833
0,0,1,1,1,1,1,0,1,0,0,1,0,0,3.777
0,1,1,1,0,0,0,0,0,1,1,1,1,1,5.672
0,1,1,0,1,1,0,0,1,1,1,1,0,1,3.771
1,0,0,1,1,1,1,0,0,1,0,1,0,0,4.256
0,1,0,1,1,1,1,1,1,0,0,1,1,1,4.102
1,0,1,1,0,0,0,0,0,0,1,1,1,0,3.709
1,1,0,0,0,1,0,1,0,1,1,1,0,1,3.771
0,1,0,0,0,0,0,1,1,0,0,0,0,1,3.676
0,1,1,0,1,0,1,0,0,0,0,1,1,1,3.787
1,0,1,1,0,0,0,0,1,1,1,0,0,0,3.735
1,1,1,0,1,1,0,1,1,0,0,1,0,1,3.736
0,1,1,1,1,1,1,0,0,1,0,0,0,0,3.737
1,0,1,0,1,1,0,1,1,1,1,1,1,0,3.738
0,0,1,0,1,0,0,1,1,0,0,1,0,0,3.789
1,0,0,1,1,1,0,1,0,1,0,0,1,0,3.742
1,0,1,1,1,0,0,0,1,0,0,1,0,1,3.748
1,0,0,0,1,1,1,1,1,1,1,1,0,0,3.771
0,0,0,0,1,0,0,1,0,0,0,0,1,0,3.739
0,1,1,0,0,0,1,0,0,1,1,1,1,1,3.775
0,1,1,1,0,1,1,0,1,1,0,1,0,0,3.773
0,0,0,0,1,1,1,1,1,0,0,1,1,1,7.406
1,1,1,0,0,1,1,0,1,0,0,1,1,1,3.781
0,1,1,0,0,1,1,0,1,0,0,0,0,0,3.739
1,1,1,0,0,1,0,1,1,1,1,0,1,0,3.699
0,1,1,1,0,1,0,0,1,0,0,0,1,0,3.757
1,1,1,1,0,1,0,0,1,0,1,1,1,1,3.718
1,1,1,0,1,0,1,1,0,1,1,1,0,0,3.709
1,1,0,1,0,0,1,0,0,0,0,1,0,0,3.723
1,1,0,0,1,0,0,0,1,1,1,0,1,1,3.699
1,1,0,0,0,1,0,1,0,0,0,1,0,0,3.751
0,1,0,1,1,1,1,0,0,1,1,0,0,0,3.719
0,1,0,0,1,1,0,0,0,0,0,1,1,1,3.959
0,0,1,0,1,1,1,1,0,1,0,0,1,0,5.244
0,0,0,0,0,1,1,1,1,0,1,0,1,1,3.698
0,1,1,1,1,1,0,0,0,1,0,1,0,1,3.812
1,1,1,1,1,0,1,0,1,0,0,1,1,1,3.731
0,1,1,1,0,1,1,0,0,1,1,0,1,1,6.789
0,0,0,0,0,0,1,0,1,0,1,0,0,0,3.68
0,0,0,1,0,0,0,0,1,0,1,0,0,1,3.715
0,1,0,0,0,0,0,0,0,1,1,0,1,1,3.725
